matratt_norm,obs,total_kg,svinn_g_p,match_status,matched_nutrition_dish,protein_g,energi_kcal,exclusion_reason
fisk,131,1152.4,27.1,unmatched,,,,unmatched_nutrition
soppa,82,622.3,26.4,unmatched,,,,unmatched_nutrition
fiskgratäng,40,315.8,34.2,unmatched,,,,unmatched_nutrition
köttbullar,55,309.1,26.0,unmatched,,,,unmatched_nutrition
lasagne,45,292.4,29.9,unmatched,,,,unmatched_nutrition
pytt,36,230.7,30.3,unmatched,,,,unmatched_nutrition
kyckling,22,212.2,29.4,unmatched,,,,unmatched_nutrition
schnitzel,38,208.6,27.3,unmatched,,,,unmatched_nutrition
pastabuffe,14,193.7,32.9,unmatched,,,,unmatched_nutrition
kebabpytt,12,176.8,51.4,unmatched,,,,unmatched_nutrition
tikka,10,167.5,37.9,unmatched,,,,unmatched_nutrition
korvgryta,14,159.1,33.5,unmatched,,,,unmatched_nutrition
köttfärslimpa,19,158.8,30.5,unmatched,,,,unmatched_nutrition
pastagratäng,21,155.4,44.5,unmatched,,,,unmatched_nutrition
korv,22,151.9,26.3,unmatched,,,,unmatched_nutrition
pytt i panna,35,151.4,30.0,unmatched,,,,unmatched_nutrition
pasta,22,126.0,29.2,unmatched,,,,unmatched_nutrition
tikka masala,21,125.8,27.6,unmatched,,,,unmatched_nutrition
tacos,16,123.8,29.9,unmatched,,,,unmatched_nutrition
färsrätt,18,119.5,32.3,unmatched,,,,unmatched_nutrition
kassler,15,112.0,28.5,unmatched,,,,unmatched_nutrition
potatisbullar,18,107.0,30.7,unmatched,,,,unmatched_nutrition
"fisk,pot",32,104.9,42.7,unmatched,,,,unmatched_nutrition
korv mos,8,99.0,32.6,unmatched,,,,unmatched_nutrition
kycklinggryta,12,89.9,29.7,unmatched,,,,unmatched_nutrition
panerad fisk,15,84.8,20.1,unmatched,,,,unmatched_nutrition
pasta baconsås,5,83.7,35.8,unmatched,,,,unmatched_nutrition
köttfärssås,28,81.5,25.9,unmatched,,,,unmatched_nutrition
ky wok,3,77.8,43.6,unmatched,,,,unmatched_nutrition
falukorv mos,3,70.8,39.7,unmatched,,,,unmatched_nutrition
mex köttfärs,4,68.6,37.9,unmatched,,,,unmatched_nutrition
kycklingfile,7,65.7,38.3,unmatched,,,,unmatched_nutrition
lasagnette,8,65.6,32.0,unmatched,,,,unmatched_nutrition
köttsoppa,5,60.6,46.5,manual_override,Kött- och grönsakssoppa ÄO,12.3,134.8,energy_below_150
chili con carne,12,59.6,28.5,unmatched,,,,unmatched_nutrition
spaghetti köttfärsås,3,58.0,33.6,unmatched,,,,unmatched_nutrition
moussaka,6,56.6,38.5,unmatched,,,,unmatched_nutrition
