enhet,unit_name,fil,blad,vecka,ar,datum,veckodag,matratt,kommentar,portionsvikt_g,bestallda_portioner,serverade_portioner,kokssvinn_kg,serveringssvinn_kg,tallrikssvinn_kg,totalt_svinn_kg,kokssvinn_pct,serveringssvinn_pct,tallrikssvinn_pct,totalt_svinn_pct,matratt_norm
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.1,1,2025,2025-01-02,Torsdag,,,275.0,38.0,38.0,,0.5,0.5,0.0,0.0478468899521531,0.0478468899521531,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.1,1,2025,2025-01-03,Fredag,,,275.0,28.0,28.0,,0.4,0.4,0.0,0.0519480519480519,0.0519480519480519,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.2,2,2025,2025-01-07,Tisdag,,,275.0,4.0,4.0,,0.1,0.1,0.0,0.0909090909090909,0.0909090909090909,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.2,2,2025,2025-01-08,Onsdag,,,275.0,97.0,97.0,0.4,1.1,1.5,0.0041237113402061,0.011340206185567,0.0154639175257731,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.2,2,2025,2025-01-09,Torsdag,,,275.0,105.0,105.0,0.6,2.1,2.7,0.0207792207792207,0.0727272727272727,0.0935064935064935,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.2,2,2025,2025-01-10,Fredag,,,275.0,85.0,85.0,0.4,1.5,1.9,0.0171122994652406,0.0641711229946524,0.081283422459893,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.3,3,2025,2025-01-13,Måndag,,,275.0,88.0,88.0,0.6,2.1,2.7,0.024793388429752,0.0867768595041322,0.1115702479338843,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.3,3,2025,2025-01-14,Tisdag,,,275.0,104.0,104.0,0.7,2.5,3.2,0.0244755244755244,0.0874125874125874,0.1118881118881118,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.3,3,2025,2025-01-15,Onsdag,,,275.0,106.0,106.0,0.5,2.6,3.1,0.0171526586620926,0.0891938250428816,0.1063464837049742,,,
Äventyrets förskola,Äventyrets förskola,Äventyrets förskola.xlsx,v.3,3,2025,2025-01-16,Torsdag,,,275.0,96.0,96.0,0.4,2.2,2.6,0.0151515151515151,0.0833333333333333,0.0984848484848485,,,
