year,month,week,weekday,date_str,dish_type,dish_name,menu_type,source_file,source_sheet,detected_category
2025,1,1,,,a_kost_alt_1,Lokal wienerkorv med mos* och grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,,,a_kost_alt_2,Champinjonsoppa,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,,,grov_pate_alt_1,"Grillkorv, potatismos* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,,,grov_pate_alt_2,Champinjonsoppa,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,,,timbal_alt_1,"Stekt korvtimbal med potatismos, grönsakstimbal och sås",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,,,timbal_alt_2,Champinjonsoppa slät,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,2.0,31/12,a_kost_alt_1,"Varmrökt lax med vispad hovmästarsås, kokt potatis* och rostad boccolini",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,2.0,31/12,a_kost_alt_2,"Fläskfilé med potatisgratäng*, rödvinssås och rostad broccolini",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,2.0,31/12,grov_pate_alt_1,"Varmrökt lax med vispad hovmästarsås, kokt potatis* och rostad boccolini",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,2.0,31/12,grov_pate_alt_2,"Fläskfilé paté med potatisgratäng*, rödvinssås och rostad broccolini",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,2.0,31/12,timbal_alt_1,"Varmrökt lax timbal med vispad hovmästarsås, potatispuré och broccoli",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,2.0,31/12,timbal_alt_2,"Fläskfilé timbal med potatisgratäng, rödvinssås och broccoli",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,3.0,1/1,a_kost_alt_1,Coq au vin med potatispuré* och grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,3.0,1/1,a_kost_alt_2,"Biff á la Lindström, gräddsås, potatis* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,3.0,1/1,grov_pate_alt_1,Coq au vin paté med potatispuré* och grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,3.0,1/1,grov_pate_alt_2,"Biff á la Lindström, gräddsås, potatis* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,3.0,1/1,timbal_alt_1,Coq au vin timbal med potatispuré och grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,3.0,1/1,timbal_alt_2,"Biff á la Lindström timb, gräddsås potatismos och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,4.0,2/1,a_kost_alt_1,Vitkålssoppa med frikadeller,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,4.0,2/1,a_kost_alt_2,"Biff á la Lindström, gräddsås, potatis* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,4.0,2/1,grov_pate_alt_1,Vitkålssoppa med frikadeller,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,4.0,2/1,grov_pate_alt_2,"Biff á la Lindström, gräddsås, potatis* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,4.0,2/1,timbal_alt_1,"Vitkålssoppa slät, färsbullstimbal",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,4.0,2/1,timbal_alt_2,"Biff á la Lindström timb, gräddsås potatismos och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,a_kost_alt_1,Dillkött med kokt potatis* och grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,a_kost_alt_2,Lasagne med sallad,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,grov_pate_alt_1,"Dillkött, grov paté med potatis* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,grov_pate_alt_2,Lasagne med grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,timbal_alt_1,Dillkött timbal med potatismos och grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,timbal_alt_2,Lasagnetimbal med grönsakstimbal,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,a_kost_alt_1,"Panerad fiskfilé med kall örtstsås, potatismos* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,a_kost_alt_2,Lasagne med sallad,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,grov_pate_alt_1,"Panerad fiskfilé med kall örtstsås, potatismos* och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,grov_pate_alt_2,Lasagne med grönsaker,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,timbal_alt_1,"Panerad fisktimbal, örtsås slät, potatismos och grönsaker",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,timbal_alt_2,Lasagnetimbal med grönsakstimbal,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,a_kost_alt_1,"Skinkstek med potatis*, gräddsås och rödkål",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,a_kost_alt_2,Lasagne med sallad,ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
2025,1,1,5.0,3/1,grov_pate_alt_1,"Skinkpaté med potatis*, gräddsås och rödkål",ao,/Users/kianagh/Downloads/DataPoC Konkret/Data/Meny ÄO Utveckling.xlsx,Sheet1,menu_nutrition
