menu_type,alternativ,datum,vecka,veckodag,ratt,ratt_orig,energi_kcal,protein_g,fett_g,kolhydrater_g,kostfibrer_g,salt_g,vikt_g
skola,Dagens lunch,2025-01-08,2,Onsdag,Thaigryta med kyckling och äggnudlar,S Thaigryta med kyckling och äggnudlar,540.15,28.96,21.72,54.32,5.05,0.82,404.05
skola,Vegetarisk lunch,2025-01-08,2,Onsdag,Choladesgryta serveras med nudlar,S Choladesgryta serveras med nudlar,657.83,28.22,32.39,60.6,5.39,2.12,421.8
skola,Dagens lunch,2025-01-09,2,Torsdag,Sprödbakad torsk serveras med potatis och remouladsås,S Sprödbakad torsk serveras med potatis och remouladsås S,461.86,19.96,22.61,42.85,3.49,2.2,310.38
skola,Vegetarisk lunch,2025-01-09,2,Torsdag,Färgglad grönsakspaj,S Färgglad grönsakspaj,211.1,13.15,13.23,7.86,4.49,2.51,317.79
skola,Dagens lunch,2025-01-10,2,Fredag,Spaghetti med köttfärssås,S Spaghetti med köttfärssås  S,451.51,19.11,13.83,59.72,4.66,3.57,320.26
skola,Vegetarisk lunch,2025-01-10,2,Fredag,Spaghetti med vegetarisk färssås,S Spaghetti med vegetarisk färssås,408.15,17.38,10.2,57.44,7.28,3.37,360.21
skola,Dagens lunch,2025-01-13,3,Måndag,Nasi Goreng (veg) serveras med kall sås,S Nasi Goreng (veg) serveras med kall sås,433.12,15.36,17.71,50.59,3.73,2.59,347.71
skola,Dagens lunch,2025-01-14,3,Tisdag,"Fiskburgare serveras med bröd, mos och remoulad","S Fiskburgare serveras med bröd, mos och remoulad",789.82,26.82,30.18,98.15,8.05,3.35,411.89
skola,Vegetarisk lunch,2025-01-14,3,Tisdag,"Quornburgare med bröd, mos och remoulad","S Quornburgare med bröd, mos och remoulad",424.78,9.28,13.8,60.91,8.94,2.84,269.81
skola,Dagens lunch,2025-01-15,3,Onsdag,Pasta serveras med broccoli- och kycklingsås,S Pasta serveras med broccoli- och kycklingsås S,462.94,26.06,11.11,59.68,8.49,1.63,400.15
skola,Vegetarisk lunch,2025-01-15,3,Onsdag,Mac n´cheese med grönt,S Mac n´cheese med grönt,350.02,14.26,15.86,35.44,4.12,0.34,259.42
skola,Dagens lunch,2025-01-16,3,Torsdag,Ärtsoppa och pannkaka med sylt,S Ärtsoppa och pannkaka med sylt,492.64,23.75,7.96,74.59,11.99,0.72,432.25
skola,Vegetarisk lunch,2025-01-16,3,Torsdag,Currykryddad Grönsakssoppa pannkaka och sylt,S Currykryddad Grönsakssoppa pannkaka och sylt,1508.9,34.35,12.59,284.62,50.4,3.38,2443.61
skola,Dagens lunch,2025-01-17,3,Fredag,Tikka Masala serveras med ris,S Tikka Masala serveras med ris,536.69,30.79,18.46,58.89,4.08,3.04,490.15
skola,Vegetarisk lunch,2025-01-17,3,Fredag,Vegetarisk Tikka Masala serveras med ris,S Vegetarisk Tikka Masala serveras med ris,606.77,33.74,21.58,66.55,3.6,3.51,496.75
