unit_name,year,month,month_name,ordered_portions,paid_portions,diff_portions,swish_note,source_file,source_sheet,detected_category
Eleshult,2025,2,Februari,88.0,83.0,5.0,swish 83,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,3,Mars,66.0,63.0,3.0,swish 63,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,4,April,77.0,74.0,3.0,swish 74,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,5,Maj,75.0,77.0,-2.0,swish 77,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,6,Juni,17.0,59.0,-42.0,swish 59,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,7,Juli,33.0,25.0,8.0,swish 25,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,8,Augusti,39.0,37.0,2.0,swish 37,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,9,September,77.0,78.0,-1.0,swish 78,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,10,Oktober,72.0,63.0,9.0,Swish 63,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,11,November,75.0,69.0,6.0,Swish 69,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
Eleshult,2025,12,December,53.0,42.0,11.0,swish 42,/Users/kianagh/Downloads/DataPoC Konkret/Data/Förskoleportioner personaldebitering 2025/Förskoleportioner debitering 2025.xlsx,Eleshult,preschool_billing
